skill,vault_hunter,tree,branch,effect,image_url
Bolt Action,Amon,Cybernetics,,"Whenever Amon Reloads, his Guns gain Bonus Shock Damage for a Duration.",https://img.game8.co/4265749/dd64a49a749a88dadee68912137a2d64.png/show
Cast Iron,Amon,Cybernetics,,Amon gains increased Forgeskill Cooldown Rate and Gun Handling.,https://img.game8.co/4265735/4032df431e5f32c5e72e61d74c902632.png/show
Destruction Engine,Amon,Cybernetics,,Amon gains increased Forgeskill Damage and Detonation Damage.,https://img.game8.co/4265738/9753add2d768bb000dd93d65a345922b.png/show
Endless War,Amon,Cybernetics,,"Primed enemies take increased Gun Damage for each stack of Prime. If Amon Detonates a Primed enemy, a new Forgeaxe is spawned that seeks out a nearby enemy.",https://img.game8.co/4265739/e0680f60261fcb8002569fa7b1c2f1dd.png/show
Executioner,Amon,Cybernetics,,Amon gains increased Critical Hit Damage. The effect is Doubled for a Duration after dealing Melee Damage.,https://img.game8.co/4265736/c6da50e8ab2ad087431af746ddaf8a92.png/show
Gathering Storm,Amon,Cybernetics,,Kill Skill. Amon deals increased Elemental Damage for a Duration. This effect can stack.,https://img.game8.co/4265737/730eca8d130a8ed0edb72e697bc45f0e.png/show
Get The Lead Out,Amon,Cybernetics,,Amon gains increased Reload Speed. The effect is Doubled for a Duration after causing a Detonation.,https://img.game8.co/4265733/9c8e157c04c5dc95428b44ea05d8b38c.png/show
Herald's Call,Amon,Cybernetics,,Amon gains increased Shock Damage.,https://img.game8.co/4265742/b2c360d1c6a52c74e27ddd5e9cd4326d.png/show
Tempered Pyre,Amon,Cybernetics,,"Forgedrone Skill. Whenever Amon activates his Forgeskill, he spawns an Axe Forgedrone that attacks nearby enemies for a Duration, dealing Incendiary Melee Damage. Activating a Forgeskill while Tempered Pyre is active fully Restores the Duration of all active Forgedrones.",https://img.game8.co/4265734/0c4290557081efb5c82e2d28b1f38320.png/show
Twin Tempers,Amon,Cybernetics,,Tempered Pyre now spawns an additional Axe Forgedrone that deals Cryo Melee Damage. Forgedrones from Tempered Pyre have reduced Duration.,https://img.game8.co/4265741/5711b2e729d2d25d88398c07375a4da6.png/show
Vital Organs,Amon,Cybernetics,,Kill Skill. Amon gains Critical Hit Chance with Guns for a Duration. This effect can stack.,https://img.game8.co/4265751/71da8d7ddb733ac7aae26c6a163fc461.png/show
Ancient Ways,Amon,Vengeance,,Amon deals increased Cryo Damage.,https://img.game8.co/4265694/3560f1aadd87cfd1f3c7486b32f79906.png/show
Battleborn,Amon,Vengeance,,Amon gains increased Gun Damage the more Full his Health. This effect is Doubled while Amon is at Maximum Health.,https://img.game8.co/4265690/5981b382606c3352dcd68b0fb7d5956c.png/show
Blastchill,Amon,Vengeance,,"Forgewaves now consume more Vengeance and explode on impact, dealing Cryo Ordnance Damage in an area. Explosion Radius is further increased if the Forgewave passes through Firewall.",https://img.game8.co/4265689/565287117e7aadae0a0eb5d257b918bc.png/show
Bullet Hail,Amon,Vengeance,,"Amon's Gun Shots have a Chance to Ricochet as an Elemental Shard, dealing Cryo Damage.",https://img.game8.co/4265686/f784a4a8858883392ce73591fdf7d5ff.png/show
Cryonic Thrum,Amon,Vengeance,,"While Scourge is active, Amon Taunts enemies and sends out a Cryonic Pulse every second, dealing Cryo Damage to enemies, and restoring Allies' Health. While Aiming, Amon's Movement Speed is reduced, but Amon gains Bonus Cryo Damage with Guns and consumes Vengeance on each Gun Shot.",https://img.game8.co/4265692/aa9bb30597b20196b901c7686f0886f1.png/show
Eternal,Amon,Vengeance,,Amon gains increased Action Skill Duration and Gun Swap Speed.,https://img.game8.co/4265691/a4531e18403559a618f84ab9fa79e6d2.png/show
Machinist,Amon,Vengeance,,Kill Skill. Amon Restores a percentage of Ordnance Cooldown.,https://img.game8.co/4265698/f83cb4633ad1f02b7ede7ff1768d2f90.png/show
Scar Tissue,Amon,Vengeance,,Amon gains increased Maximum Health Capacity and Repkit Healing.,https://img.game8.co/4265688/1a2e304911b4415dec804f1d263771d7.png/show
Scorched Kairos,Amon,Vengeance,,Amon gains increased Ordnance Damage and Magazine Size.,https://img.game8.co/4265693/ee6dddeaf9a3aa4469ab160be127bbf2.png/show
Tail of the Comet,Amon,Vengeance,,"Whenever Amon deals Ordnance Damage, there is a Chance to apply a Cryo Status Effect that deals Cryo Damage over time for a Duration. Tail of the Comet is affected by Status Effect Application Chance.",https://img.game8.co/4265687/ccdb82818640390c809449d43466d809.png/show
The Thrill (Amon),Amon,Vengeance,,"Amon gains Missing Health Regeneration. Every time Amon takes or absorbs Non-Status Effect Damage, he gains a Stack of Resolute for a Duration, which increases this effect.",https://img.game8.co/4265685/5e01ba9c14d340eeb7db5d4b7f498797.png/show
Warrior's Cup,Amon,Vengeance,,"Whenever Amon uses a Repkit while his Action Skill is active, partially restore Action Skill Duration.",https://img.game8.co/4265699/6e281d778298f57347d55f8cdd66ecc3.png/show
Wrath of Nature,Amon,Vengeance,,Amon gains increased Status Effect Application Chance and Cryo Effectiveness. This effect is Doubled when his Action Skill is active.,https://img.game8.co/4265684/adea3b96cd97a4b03a050d17d9e90015.png/show
Berserk,Amon,Calamity,Branch 1,"Whenever Amon activates his Forgeskill, he becomes Berserk for a Duration, gaining Slow Immunity, and Bonus Cryo Damage with Gun Damage and Melee Damage.",https://img.game8.co/4265650/021a7ac6d8ae2a099bd9d362ef976cd2.png/show
Bloodlust,Amon,Calamity,Branch 1,"Whenever Amon's Shield Breaks, he gains Bloodlust for a Duration, gaining increased Reload Speed and Lifesteal. Bloodlust is also activated on Action Skill Activation.",https://img.game8.co/4265651/dc02b8703dffcf4c177818e1ac9786f2.png/show
Brimming Vigor,Amon,Calamity,Branch 1,Amon gains increased Maximum Health Capacity and deals increased Melee Damage the more full his Health.,https://img.game8.co/4265652/373f13ff8e804df3fa4b6bb81a5fc3f6.png/show
Fellfrost,Amon,Calamity,Branch 1,"Pressing Action Skill immediately after a Rocket Punch causes Amon to use a follow-up attack, dealing Cryo Melee Attack Damage in a large area in front of Amon. Non-Boss enemies hit below 25% Total HP are killed.",https://img.game8.co/4265646/46619a71cc7717d26b581da8a729dea4.png/show
Hoarcleave,Amon,Calamity,Branch 1,"Molten Slam is now Hoarcleave. Press and hold Action Skill to swing a Massive Forgeaxe, launching a Forgewave that deals Cryo Melee Damage and Freezes enemies it passes through. Enemies killed by Hoarcleave cause a Detonation, dealing Cryo Damage.",https://img.game8.co/4265657/31cefa1f2b724088f81f3a6ea738ed58.png/show
My Touch Is Death,Amon,Calamity,Branch 1,"Whenever Amon deals Melee Damage, there is a chance to Activate Kill Skills.",https://img.game8.co/4265656/d6c0bccfd11dac10156ae7db77366419.png/show
Rimebreak,Amon,Calamity,Branch 1,"Whenever Amon's Shield Breaks, he partially Restores Shield and Detonates, dealing Cryo Damage to all nearby enemies and Freezing them.",https://img.game8.co/4265654/9f0502579ce880e371606958027caec1.png/show
There Is Only Red,Amon,Calamity,Branch 1,"Kill Skill. Whenever Amon kills an enemy while Berserk is active, partially restore Berserk's Duration, and increase Bonus Cryo Damage from Berserk.",https://img.game8.co/4265653/d61346cf6414e6ca371642d893c2d7e2.png/show
Cacophony,Amon,Cybernetics,Branch 1,Amon gains increased Ordnance Damage and Detonation Radius.,https://img.game8.co/4265757/843d928f39fea9acb2932d841e77c3b2.png/show
Endless Bombardment,Amon,Cybernetics,Branch 1,Grenades have a Chance to refund themselves on use. Heavy Ordnance have a Chance to refund 1 Ammo on damaging enemies.,https://img.game8.co/4265764/906f164e4aa2ccd6ef2104aefdade00a.png/show
Hour of the Hammer,Amon,Cybernetics,Branch 1,"Amon now readies Forgehammers, choosing Frost or Shock. Enemies damaged by Forgehammer are Primed for a Duration, and will Detonate when they die or are damaged by a Forgeskill, dealing Damage to nearby enemies. Can throw a Cryo Hammer, dealing Cryo Melee Damage in an area on impact, or a Shock Hammer, dealing Shock Melee Damage in an area on impact.",https://img.game8.co/4265746/57590a8ff0a05bfabf02d8c78341e556.png/show
Masterwork,Amon,Cybernetics,Branch 1,Forgedrones gain increased Damage and Duration.,https://img.game8.co/4265766/e2fc2d54214b4df17d65dbaabd1906be.png/show
Ordained Hammer,Amon,Cybernetics,Branch 1,"Hammer Forgedrones now deal Ordnance Damage in addition to their other types and gain a Chance to cause a Detonation on damaging enemies, dealing Cryo Damage in an area.",https://img.game8.co/4265763/f3bbe3ab0e243d6ae63a66900afe82d9.png/show
Snowmaul,Amon,Cybernetics,Branch 1,"Double-Edge is now Snowmaul. Press and hold Action Skill to throw a Twinned Forgehammer, dealing Cryo Melee Damage to nearby enemies on impact that Ricochets between nearby enemies up to 3 times. If no Ricochet targets are found, it deals Damage an additional time before destroying itself. For each Detonation caused, it Ricochets an additional time.",https://img.game8.co/4265762/89a3b07999cb2e3c6b2482c31ac23751.png/show
Stoked,Amon,Cybernetics,Branch 1,"Whenever Amon deals Ordnance Damage, he gains increased Fire Rate for a Duration. This effect can stack.",https://img.game8.co/4265744/1af775f8a675a1c5f3d3ae8b55daf045.png/show
Tempered Ice,Amon,Cybernetics,Branch 1,"Forgedrone Skill. Whenever Amon activates his Ordnance, he spawns a Hammer Forgedrone that attacks nearby enemies for a Duration, dealing Cryo Melee Damage.",https://img.game8.co/4265767/700ca2536811b454f8162648f65f9389.png/show
Ballistic Bulwark,Amon,Vengeance,Branch 1,Amon gains Overshield when he deals Ordnance Damage.,https://img.game8.co/4265701/c2bebca81cf3728643d3ad1a1cbd7f19.png/show
Burning Rage,Amon,Vengeance,Branch 1,Kill Skill. Killing an enemy with Incendiary Damage will grant a Stack of Flame Affinity for a Duration. Flame Affinity Stacks grant increased Reload Speed and Action Skill Cooldown Rate.,https://img.game8.co/4265700/d0a145109962478188872de6d090739c.png/show
Cooling Mantle,Amon,Vengeance,Branch 1,Kill Skill. Partially Restore Worldbreaker's Cooldown.,https://img.game8.co/4265704/ab0421272cbc3e6b8f6b6c96fc774fb1.png/show
Disco Infernus,Amon,Vengeance,Branch 1,"Whenever Amon applies Burning to an enemy, he gains increased Fire Rate for a Duration. This effect can stack.",https://img.game8.co/4265696/93ede3d7264cbb43e267737c9aa9e9c0.png/show
Molten Rebuke,Amon,Vengeance,Branch 1,"Forgewave is now Molten Rebuke. Press Action Skill to Consume all Vengeance and throw the Forgeshield at target enemy, dealing Incendiary Ordnance Damage, and Ricocheting on impact. Molten Rebuke Ricochets additional times based on Vengeance consumed. Whenever the Forgeshield is thrown, Damage Absorption is Disabled until it returns.",https://img.game8.co/4265695/da2eddc97ffebcd8ed49aefa655a4797.png/show
Ring of Frostfire,Amon,Vengeance,Branch 1,"Firewall is now a Ring that deals Incendiary Status Effect Damage to enemies inside of it, and Cryo Damage to enemies who enter or leave. Firewall grants Friendly Projectiles that pass through it further increased Damage and Projectile Speed.",https://img.game8.co/4265712/32337b1c9452f1f37baf2d4933913c05.png/show
Wildfire,Amon,Vengeance,Branch 1,"Amon gains increased Ricochet Damage, Burning Damage, and Burning Duration.",https://img.game8.co/4265702/8eeca5c0a9021cc42ad55a457f551714.png/show
Worldbreaker,Amon,Vengeance,Branch 1,"Whenever Amon Ground Slams, he consumes all Flame Affinity Stacks to create a Flame Fissure in front of him, dealing Incendiary Melee Damage to all enemies hit. Worldbreaker deals Bonus Damage for each Stack of Flame Affinity consumed.",https://img.game8.co/4265697/cfb2179b536f31e01179088c75462458.png/show
Burning Ramparts,Amon,Calamity,Branch 2,Amon gains increased Fire Rate and Status Effect Chance the more full his Shields.,https://img.game8.co/4265658/bdd3c55d4f98d055cda346e4be69a419.png/show
Force of Nature,Amon,Calamity,Branch 2,"While Onslaughter is active, Gun Damage dealt to enemies will Prime them for a Duration, and will Detonate when they die or are damaged by a Forgeskill, dealing Incendiary Damage to nearby enemies. Detonations can also be caused by Melee Attack Damage, but deal less Damage. This effect can stack.",https://img.game8.co/4265661/8f09599233abba02804585a383112dec.png/show
Harbinger,Amon,Calamity,Branch 2,Kill Skill. Amon gains increased Melee Damage and Maximum Shield Capacity for a Duration. This effect can stack.,https://img.game8.co/4265670/3fbadff713309e0020c160a75fe5ad7d.png/show
Into the Fray,Amon,Calamity,Branch 2,"Amon gains increased Damage Dealt and Damage Reduction based on his distance from the enemy. The closer the enemy, the greater the bonus.",https://img.game8.co/4265663/b21f2e369209cfe73333cfb4315b9f12.png/show
Maiming Strike,Amon,Calamity,Branch 2,"Gun Critical Hits have a chance to apply Weakness to enemies for a Duration. Weakened enemies deal reduced Damage, and take increased Damage. Weakness is affected by Status Effect Duration, and is itself considered a Status Effect.",https://img.game8.co/4265655/b1138625094a8a304ce90b657f284ade.png/show
Molten Roil,Amon,Calamity,Branch 2,"Pyres deal additional Incendiary Melee Damage based on Damage Stored by Molten Slam, distributed among the remaining targets.",https://img.game8.co/4265667/43fb7cffcca562e5ccd9d79e46312145.png/show
Mortal Flare,Amon,Calamity,Branch 2,"Whenever Amon kills a Weakened enemy, they Detonate, dealing Incendiary Melee Damage to nearby enemies.",https://img.game8.co/4265665/9543bdf141f8f807b0aab01958f897d0.png/show
Rearm,Amon,Calamity,Branch 2,"Whenever Amon deals Damage with a Melee Attack, his current Gun has its Ammo partially refilled.",https://img.game8.co/4265666/edf50fd5887dfa654c729d85f0634cdd.png/show
Armor of Contempt,Amon,Cybernetics,Branch 2,Amon gains Overshield when he deals Action Skill Damage.,https://img.game8.co/4265759/1148a7abb5a4bce2e9c03c6d4c5b7d8c.png/show
Blade Tempest,Amon,Cybernetics,Branch 2,"Amon now readies Forgeswords, choosing Flame or Shock. Whenever activated, consume all Charges to launch a Barrage of Forgeswords. Enemies damaged by Forgeswords are Primed for a Duration, and will Detonate when they die or are damaged by a Forgeskill dealing Damage to the target, but none to nearby enemies. Can fire a Barrage of Flame Swords, dealing Incendiary Melee Damage, or a Barrage of Shock Swords, dealing Shock Melee Damage. This effect can stack.",https://img.game8.co/4265765/e1d0a1057db646cdbeaaac51b1a16bec.png/show
Blast Furnace,Amon,Cybernetics,Branch 2,"Whenever Amon or his Forgedrones Critically Hit an enemy or cause a Detonation, he gains increased Damage Dealt for a Duration. Detonations grant multiple Stacks.",https://img.game8.co/4265756/b44ebb6013e311412f57b474a3c8ea6e.png/show
Escalation,Amon,Cybernetics,Branch 2,Forgedrones gain increased Attack Speed and Movement Speed.,https://img.game8.co/4265747/0ad60ef95de21e66b90a9d4f2402eda7.png/show
Honed Point,Amon,Cybernetics,Branch 2,"Forgedrones have a Chance to Critically Hit. Whenever a Forgedrone Critically Hits, they partially restore Amon's Action Skill Cooldown.",https://img.game8.co/4265748/83a5a2b0175b74bd9b9a1f044e678300.png/show
Lightning Rod,Amon,Cybernetics,Branch 2,"Amon's Gun Shots have a Chance on Critical Hit to spawn an Elemental Bolt, dealing Shock Damage.",https://img.game8.co/4265768/78b06cc2a78fb9e8485b81d24dd2edf3.png/show
Storm Surge,Amon,Cybernetics,Branch 2,"Double-Edge is now Storm Surge. Press and hold Action Skill to throw a Twinned Forgeblade, dealing Shock Melee Damage in an area on impact. Storm Surge creates a Forgestorm on impact for a Duration, dealing Shock Status Effect Damage over time.",https://img.game8.co/4265752/0711ac9810ba2ca85585d92f18ca59e0.png/show
Tempered Lightning,Amon,Cybernetics,Branch 2,"Forgedrone Skill. Whenever Amon activates his Action Skill, he spawns a Sword Forgedrone that attacks nearby enemies for a Duration, dealing Shock Melee Damage. Activating an Action Skill while Tempered Lightning is active will partially Restore the Duration of all active Forgedrones.",https://img.game8.co/4265745/368e8189b2156e532855f0db7b30f290.png/show
Age of Ice,Amon,Vengeance,Branch 2,Amon deals increased Damage to Frozen enemies and Bosses.,https://img.game8.co/4265714/d5a46ae0e2d68aa26cc53394bee5596c.png/show
Caroming Shard,Amon,Vengeance,Branch 2,Elemental Shard has a Chance to Ricochet.,https://img.game8.co/4265708/af190067d684e35cc88019be6fe172e0.png/show
Eternal Winter,Amon,Vengeance,Branch 2,"Forgewaves now partially restore Action Skill Duration and Firewall Duration on damaging enemies, and can be activated three times in succession. The third activation launches a Massive Forgewave that deals increased Damage and does not consume Vengeance.",https://img.game8.co/4265716/b177d005b78c98ff8478d720004ec4dd.png/show
Glacial Rapture,Amon,Vengeance,Branch 2,"Firewall is now Glacial Rapture. Press and hold Action Skill to swing Forgewhips, dealing Cryo Ordnance Damage over 2 Hits to nearby enemies before slamming into the ground, creating a Cryonic Fissure that deals Cryo Ordnance Damage and leaves Cryo Hazards for a Duration.",https://img.game8.co/4265719/44d03c1495ca9a06d2e865d48f2e0817.png/show
Icy Rage,Amon,Vengeance,Branch 2,Kill Skill. Killing an enemy with Cryo Damage will grant a Stack of Cryo Affinity for a Duration. Cryo Affinity Stacks grant increased Gun Damage.,https://img.game8.co/4265717/63bc51bfa7a42e34324bf5156bc26fa2.png/show
Northern Wind,Amon,Vengeance,Branch 2,"Amon's Gun Critical Hits have a Chance to apply additional Slow to enemies, as if dealt Cryo Damage. Chance is Doubled while his Action Skill is active.",https://img.game8.co/4265707/73503cfd326a511b2dc7572c67122216.png/show
Primal Surge,Amon,Vengeance,Branch 2,"Whenever Amon applies a Status Effect to an enemy, there is a Chance to partially restore his Shield and Ammo.",https://img.game8.co/4265703/29d0393e625f86dd2e4593f18bb3fd1c.png/show
Winter's Kiss,Amon,Vengeance,Branch 2,"Whenever Amon deals Ordnance Damage, he consumes a Stack of Cryo Affinity for each nearby enemy to spawn an Elemental Shard, dealing Cryo Damage in an area.",https://img.game8.co/4265705/6111ecbf693917bfa3a4b9650e0bf5de.png/show
Catastrophe,Amon,Calamity,Branch 3,"Whenever Amon applies Shock to an enemy, he gains increased Critical Hit Chance for a Duration. Whenever Amon applies Burning to an enemy, he gains increased Critical Hit Damage for a Duration. Both effects stack separately.",https://img.game8.co/4265659/d7253f9a1eb9fb71039ca8473c4cee27.png/show
Crackling Aegis,Amon,Calamity,Branch 3,"Amon gains increased Status Effect Damage and Ordnance Damage based on his Shields. The fuller his Shield, the greater the effect.",https://img.game8.co/4265668/7888291ced2b52f5ce2e224e5c8d9bb8.png/show
Dragon's Breath,Amon,Calamity,Branch 3,"Whenever Amon Activates his Ordnance, his next Gun Shot is converted to Incendiary Damage, Staggering damaged enemies, and gaining increased Damage Dealt. Bosses cannot be Staggered, and Badasses have a chance to be Staggered.",https://img.game8.co/4265664/0ab89822912f498ac3897151f3cf5387.png/show
Electrical Fire,Amon,Calamity,Branch 3,"Whenever Amon Burns an enemy, he also Shocks them. Whenever Amon Shocks an enemy, he also Burns them.",https://img.game8.co/4265662/826395d98b3d65c57261f9ca9616aedd.png/show
Fists of Stone,Amon,Calamity,Branch 3,"Whenever Amon deals Melee Damage, Restore a percentage of Forgeskill Cooldown. Melee Attacks Double this effect.",https://img.game8.co/4265671/8f8e84af3a709d6aafe59d19334f9d1b.png/show
Fulminating Fist,Amon,Calamity,Branch 3,Amon gains increased Status Effect Chance while Onslaughter is active. Pressing Action Skill launches a concentrated Lightning Wave that deals Shock Melee Attack Damage to enemies it passes through.,https://img.game8.co/4265669/a5c427f6d2858796d815fde48629b5f2.png/show
Judgment,Amon,Calamity,Branch 3,Amon deals increased Melee Damage to enemies below 50% total HP.,https://img.game8.co/4265660/43c2baae677c56a3b346d928a788488b.png/show
Stormcutter,Amon,Calamity,Branch 3,"Molten Slam is now Stormcutter. Press and hold Action Skill to swing a Massive Forgesword, launching a Forgewave that deals Shock Melee Damage to all enemies it passes through. Restore Action Skill Cooldown, Action Skill Duration, and Ordnance Cooldown for each enemy hit.",https://img.game8.co/4265672/401c2133c6dac5b073ef98202b493cbf.png/show
Conflangarang,Amon,Cybernetics,Branch 3,"Double-Edge now deals Incendiary Melee Damage in both directions, gains increased Radius, and leaves a trail of Fire as it travels if close enough to the ground, dealing Incendiary Damage over time. Causing a Detonation or damaging an enemy with Conflangarang will restore Forgeskill Cooldown.",https://img.game8.co/4265732/b60e4c70ffc14879a45411aadb7c124a.png/show
Freezer Burn,Amon,Cybernetics,Branch 3,Dealing Incendiary Damage with Guns increases Cryo Damage for a Duration. Dealing Cryo Damage with Guns increases Incendiary Damage for a Duration.,https://img.game8.co/4265754/bc09b14382098f01243267258144af52.png/show
Permafrost,Amon,Cybernetics,Branch 3,"Whenever Amon Freezes an enemy, Cryo Hazard is created under them, dealing Cryo Damage for a Duration.",https://img.game8.co/4265750/8fd4f53142e986c436b447191e35e8ff.png/show
Raging Inferno,Amon,Cybernetics,Branch 3,Action Skill Damage has a Chance to Critically Hit and Burn enemies when it does.,https://img.game8.co/4265755/9e50a60cfb40816a4bcadd91ab645c73.png/show
Reactive Armor,Amon,Cybernetics,Branch 3,Detonations partially Restore Amon's Shield and Ordnance Cooldown.,https://img.game8.co/4265761/67ee21ac1885823eed62f7a1ce704bc0.png/show
Reverse Explosion,Amon,Cybernetics,Branch 3,"Whenever Amon deals Forgeskill Damage, he creates a Drone Singularity for a Duration.",https://img.game8.co/4265758/d98083fe67d6b4393338d6f06b71baf9.png/show
Searing Cold,Amon,Cybernetics,Branch 3,Frost Axes apply Freeze on impact. Flame Axes now pass through enemies.,https://img.game8.co/4265753/936e78d7b92288adaa9f5693435fda92.png/show
Wildheart,Amon,Cybernetics,Branch 3,Amon gains increased Status Effect Damage and Hazard Damage.,https://img.game8.co/4265760/a7ffae74af55842b3e7b8718f6c26481.png/show
Blackout,Amon,Vengeance,Branch 3,"Ordnance Damage has a Chance to Critically Hit, and Shock enemies when they do.",https://img.game8.co/4265706/3caccf53aaf5c3685edbe4bb3b83cd53.png/show
High Voltage,Amon,Vengeance,Branch 3,"Elemental Bolts now Stagger enemies, and consume an additional Stack of Shock Affinity to Multiply Damage Dealt. Bosses cannot be Staggered, and Badasses have a reduced Chance to be Staggered.",https://img.game8.co/4265718/fddd3f0ac8d9571f821d0d2ae4d85c2e.png/show
Smelter,Amon,Vengeance,Branch 3,Kill Skill. Amon Restores a percentage of Forgeskill Cooldown.,https://img.game8.co/4265710/262fc2b558fbd7674e5881b02461159c.png/show
Stormlance,Amon,Vengeance,Branch 3,"Forgewave is now Stormlance. Press Action Skill to throw a Forgespear, dealing Shock Ordnance Damage on impact, consuming Vengeance to increase Damage Dealt. Enemies damaged by Forgespear are Primed for a Duration, and will Detonate when they are damaged by a Forgeskill, dealing Shock Damage to the target, but none to nearby enemies. Detonations can also be caused by Gun Critical Hits, but deal less Damage. This effect can stack.",https://img.game8.co/4265711/754006ac3bd6eb337a0bfbd78cc37f68.png/show
Strike the Anvil,Amon,Vengeance,Branch 3,"Whenever Amon deals Action Skill Damage, he consumes a Stack of Shock Affinity to cause an Elemental Bolt to strike that enemy, dealing Shock Damage.",https://img.game8.co/4265720/56556e51b1c034ef7821153f955539ea.png/show
Tactician,Amon,Vengeance,Branch 3,"While Hipfiring, Amon gains increased Fire Rate, but decreased Gun Handling. While Aiming, Amon gains increased Gun Damage and Gun Handling.",https://img.game8.co/4265709/0f3338d20668cd2bcef3d81603cdd892.png/show
Thunderous Rage,Amon,Vengeance,Branch 3,Kill Skill. Killing an enemy with Shock Damage will grant a Stack of Shock Affinity for a Duration. Shock Affinity Stacks grant increased Critical Hit Damage.,https://img.game8.co/4265713/4dfdd30e83d559956ff1a6dc9fc5b6a1.png/show
Wrathfall,Amon,Vengeance,Branch 3,"Firewall is now Wrathfall. Press and hold Action Skill to call down a Massive Forgesword to strike a target enemy, dealing Shock Ordnance Damage to enemies in the area. Wrathfall always Critically Hits.",https://img.game8.co/4265715/4a57e31f3ce7df66a1407d86d9986ab0.png/show
Absolute Zero,Harlowe,Cosmic Brilliance,,"Whenever Harlowe Freezes an enemy, she receives a Stack of Zero Point. For every Stack of Zero Point, her Action Skill Duration freezes enemies for a short time.",https://img.game8.co/4265897/7bfcee8a8dc8784da479044834222aee.png/show
Action at a Distance,Harlowe,Cosmic Brilliance,,"Whenever Harlowe applies a Status Effect to an enemy, she gains a chance to apply that Status Effect to each Entangled enemy.",https://img.game8.co/4265890/7bfc3f2fb7ae2341f251f0f1756555f2.png/show
Blue Giant,Harlowe,Cosmic Brilliance,,"Harlowe's Flux Generator gains increased Radius. Additionally, whenever she retrieves Flux Generator, she creates a Cryo Hazard where her Flux Generator was located, and a Radiation Hazard wherever she next places her Flux Generator. Only one of each of these Hazards may be active at a time.",https://img.game8.co/4265887/73d7e291988d1527ab145f73a5d9decf.png/show
