BORDERLANDS 4 — ACTOR NAME CATALOG
Actor file (gbxactor code) ↔ in-game display name
Generated: 2026-07-30T20:11:26.302Z
Source: references/bl4_toolbox_export/ncs/json
Total actors: 1376

Format:
  Char_* code                                   In-game name  (notes)
  Char_Leader_PlotGrass1_Boss_KOTOLieutenantTRUE  Big Encore Horace  (row KOTO_Lieutenant_TrueBoss · ItemPoolList_KotoLieutenant_TrueBoss · True Boss)
  Char_Soldier_SideShatterlands_ElectiMoleTRUE  Big Encore Leader Willem  (row Upgraded_Electi_Mole_TrueBoss · ItemPoolList_UpgradedElectiMole_TrueBoss · True Boss)
  Char_Striker_Bunker_Boss_SplitterTRUE         Big Encore Mimicron  (row Striker_Splitter_TrueBoss · ItemPoolList_StrikerSplitter_TrueBoss · True Boss)
  Char_ShatterBoss_Elpis_TrueBoss               Big Encore Moon-Maddened Callis  (row Shatterlands_Commander_Elpis_TrueBoss · ItemPoolList_ShatterlandsCommanderElpis_TrueBoss · True Boss)
  Char_GunShip_PlotGrass2a_Boss_MeatPlantTRUE   Big Encore Oppressor  (row Meat_Plant_Gunship_TrueBoss · ItemPoolList_MeatPlantGunship_TrueBoss · True Boss)
  Char_Pangolin_Drill_Boss_PangoTRUE            Big Encore Pango  (row Pango_TrueBoss · ItemPoolList_Pango_TrueBoss · True Boss)
  Char_GrassGuard_TrueBoss                      Big Encore Primordial Guardian Inceptus  (row Grasslands_Guardian_TrueBoss · ItemPoolList_Grasslands_Guardian_TrueBoss · True Boss)
  Char_MountGuard_V02_TrueBoss                  Big Encore Primordial Guardian Origo  (row Mountain_Guardian_TrueBoss · ItemPoolList_MountainGuardian_TrueBoss · True Boss)
  Char_ShatterGuard_TrueBoss                    Big Encore Primordial Guardian Radix  (row Shatterlands_Guardian_TrueBoss · ItemPoolList_ShatterlandsGuardian_TrueBoss · True Boss)
  Char_TkGuard_TrueBoss                         Big Encore Primordial Guardian Timekeeper  (row City_Time_Keeper_Guardian_TrueBoss · ItemPoolList_Timekeeper_Guardian_TrueBoss · True Boss)
  Char_Pangolin_Mine_Boss_RockAndROllTRUE       Big Encore Rocken Roller  (row Rock_and_Roll_TrueBoss · ItemPoolList_RockAndRoll_TrueBoss · True Boss)
  Char_MeatHeadRiderTRUE                        Big Encore Saddleback  (row Meathead_Riders_TrueBoss · ItemPoolList_MeatheadRider_TrueBoss · True Boss)
  Char_SpliceFrackingEngineerTRUE               Big Encore Sal the Engineer  (row Foundry_Freaks_Splice_TrueBoss · ItemPoolList_FoundryFreak_Splice_TrueBoss · True Boss)
  Char_Cat_Mine_Boss_StealthPredator_TRUE       Big Encore Shadowpelt  (row Stealth_Predator_TrueBoss · ItemPoolList_StealthPredator_TrueBoss · True Boss)
  Char_Splice_Drill_Boss_SpiderJumboTRUE        Big Encore Sidney Pointylegs  (row Spider_Jumbo_TrueBoss · ItemPoolList_SpiderJumbo_TrueBoss · True Boss)
  Char_Creep_Mine_Boss_SkullOrchid_TRUE         Big Encore Skull Orchid  (row Skull_Orchid_TrueBoss · ItemPoolList_SkullOrchid_TrueBoss · True Boss)
  Char_Bat_PlotMount1_Boss_MatriarchTRUE        Big Encore Skyspanner Kratch  (row Bat_Matriarch_TrueBoss · ItemPoolList_BatMatriarch_TrueBoss · True Boss)
  Char_Thresher_SideGrass_Trash_True            Big Encore Sludgemaw  (row Trash_Thresher_TrueBoss · ItemPoolList_TrashThresher_TrueBoss · True Boss)
  Char_Psycho_PlotGrass1_Boss_GlidePackTRUE     Big Encore Splashzone  (row Glide_Pack_Psycho_TrueBoss · ItemPoolList_GlidePackPsycho_TrueBoss · True Boss)
  Char_MountBoss_TrueBoss                       Big Encore Vile Lictor  (row Mountain_Commander_TrueBoss · ItemPoolList_MountainCommander_TrueBoss · True Boss)
  Char_Psycho_PlotMount2b_Boss_FirstCorruptTRUE  Big Encore Vile Prototype  (row First_Corrupt_TrueBoss · ItemPoolList_FirstCorrupt_TrueBoss · True Boss)
  Char_SideCity_Psycho_CorruptTED_TRUE          Big Encore Vile Ted  (row CorruptTED_TrueBoss · ItemPoolList_SideCity_Psycho_TrueBoss · True Boss)
  Char_Thresher_Mine_Boss_SurpriseAttack_TRUE   Big Encore Voraxis  (row Surprise_Attack_TrueBoss · ItemPoolList_SurpriseAttack_TrueBoss · True Boss)
  Char_Brute_PlotGrass2b_Boss_Motherbase        Bio-Bulkhead  (row KOTO_Motherbase_Brute · ItemPoolList_KOTOMotherbaseBrute)
  Char_Bat_Mine_Boss_Destroyer                  Bramblesong  (row Destroyer · ItemPoolList_Destroyer)
  Char_Brute_Bunker_Boss_Mountains              Callous Harbinger of Annihilating Death  (row Blaster_Brute · ItemPoolList_BlasterBrute)
  Char_TubaBoss                                 Child of Terramorphous  (row Tuba_Terra · ItemPoolList_Tuba_Terra)
  Char_Drone_Bunker_Boss_Keeper                 Core Observer  (row Drone_Keeper · ItemPoolList_DroneKeeper)
  Char_Soldier_Bunker_Boss_RedGuard             Directive-0  (row Red_Guard · ItemPoolList_Redguard)
  Char_Leader_Bunker_Boss_Cloning               Divisioner  (row Cloning_Leader · ItemPoolList_CloningLeader)
  Char_Meathead_PlotShat2a_Boss_Drillerhole     Driller Hole  (row Drillerhole · ItemPoolList_Drillerhole)
  Char_Leader_Bunker_Boss_Hologram              Fractis  (row Leader_Hologram · ItemPoolList_LeaderHologram)
  Char_MeatHeadFrackingBoss                     Frank the Furnace  (row Foundry_Freaks_Meathead · ItemPoolList_FoundryFreak_MeatheadFrackingBoss)
  Char_Soldier_Bunker_Boss_Ancient              Genone  (row Soldier_Ancient · ItemPoolList_SoldierAncient)
  Char_GrassBoss_TrueBoss                       Grass Boss True Boss  (row Grasslands_Commander_TrueBoss · ItemPoolList_Grasslands_Commander_TrueBoss · True Boss)
  Char_Psycho_HovercartRider                    Gruntabulous Vork  (row Hovercart · ItemPoolList_Hovercart)
  Char_PsychoFrackingLieutenant                 Hank the Welder  (row Foundry_Freaks_Psycho · ItemPoolList_FoundryFreak_Psycho)
  Char_Leader_PlotGrass1_Boss_KOTOLieutenant    Horace  (row KOTO_Lieutenant · ItemPoolList_KotoLieutenant)
  Char_GrassBoss                                Idolator Sol  (row Grasslands_Commander · ItemPoolList_Grasslands_Commander)
  Char_Soldier_SideShatterlands_ElectiMole      Leader Willem  (row Upgraded_Electi_Mole · ItemPoolList_UpgradedElectiMole)
  Char_Striker_Bunker_Boss_Splitter             Mimicron  (row Striker_Splitter · ItemPoolList_StrikerSplitter)
  Char_ShatterBoss_Elpis                        Moon-Maddened Callis  (row Shatterlands_Commander_Elpis · ItemPoolList_ShatterlandsCommanderElpis)
  Char_Pangolin_Drill_Boss_Pango                Pango  (row Pango · ItemPoolList_Pango)
  Char_GrassGuard                               Primordial Guardian Inceptus  (row Grasslands_Guardian · ItemPoolList_Grasslands_Guardian)
  Char_MountGuard_V02                           Primordial Guardian Origo  (row Mountain_Guardian · ItemPoolList_MountainGuardian)
  Char_ShatterGuard                             Primordial Guardian Radix  (row Shatterlands_Guardian · ItemPoolList_ShatterlandsGuardian)
  Char_TkGuard                                  Primordial Guardian Timekeeper  (row City_Time_Keeper_Guardian · ItemPoolList_Timekeeper_Guardian)
  Char_PrisonBuddyBoss                          Prison Buddy Boss  (row Arjay_Mission · ItemPoolList_Arjay)
  Char_Pangolin_Mine_Boss_RockAndRoll           Rocken Roller  (row Rock_and_Roll · ItemPoolList_RockAndRoll)
  Char_MeatHeadRider                            Saddleback  (row Meathead_Riders · ItemPoolList_MeatheadRider)
  Char_SpliceFrackingEngineer                   Sal the Engineer  (row Foundry_Freaks_Splice · ItemPoolList_FoundryFreak_Splice)
  Char_Cat_Mine_Boss_StealthPredator            Shadowpelt  (row Stealth_Predator · ItemPoolList_StealthPredator)
  Char_SideCity_Psycho_CorruptTED_Runnable      Side City Psycho Corrupt TED Runnable  (row CorruptTED · ItemPoolList_SideCity_Psycho)
  Char_Splice_Drill_Boss_SpiderJumbo            Sidney Pointylegs  (row Spider_Jumbo · ItemPoolList_SpiderJumbo)
  Char_Creep_Mine_Boss_SkullOrchid              Skull Orchid  (row Skull_Orchid · ItemPoolList_SkullOrchid)
  Char_Bat_PlotMount1_Boss_Matriarch            Skyspanner Kratch  (row Bat_Matriarch · ItemPoolList_BatMatriarch)
  Char_Thresher_SideGrass_Trash                 Sludgemaw  (row Trash_Thresher · ItemPoolList_TrashThresher)
  Char_Psycho_PlotGrass1_Boss_GlidePack         Splashzone  (row Glide_Pack_Psycho · ItemPoolList_GlidePackPsycho)
  Char_Beast_Mine_Boss_Backhive                 The Backhive  (row Backhive · ItemPoolList_Backhive)
  Char_Beast_Drill_Boss_Battlewagon             The Battle Wagon  (row Battle_Wagon · ItemPoolList_BattleWagon)
  Char_Beast_Mine_Boss_Backhive_TRUE            The Big Encore Backhive  (row Backhive_TrueBoss · ItemPoolList_Backhive_TrueBoss · True Boss)
  Char_Beast_Drill_Boss_Battlewagon_TRUE        The Big Encore Battle Wagon  (row Battle_Wagon_TrueBoss · ItemPoolList_BattleWagon_TrueBoss · True Boss)
  Char_Brute_Bunker_Boss_MountainsTRUE          The Big Encore Callous Harbinger of Annihilating Death  (row Blaster_Brute_TrueBoss · ItemPoolList_BlasterBrute_TrueBoss · True Boss)
  Char_Guntoter_MeatheadJockeyBossTRUE          The Big Encore Immortal Boneface  (row Meathead_Riders_Jockey_TrueBoss · ItemPoolList_MeatheadRider_Jockey_TrueBoss · True Boss)
  Char_TkBoss_TrueBoss                          The Big Encore Timekeeper  (row City_Time_Keeper_TrueBoss · ItemPoolList_Timekeeper_TKBoss_TrueBoss · True Boss)
  Char_Guntoter_MeatheadJockeyBoss              The Immortal Boneface  (row Meathead_Riders_Jockey · ItemPoolList_MeatheadRider_Jockey)
  Char_GunShip_PlotGrass2a_Boss_MeatPlant       The Oppressor  (row Meat_Plant_Gunship · ItemPoolList_MeatPlantGunship)
  Char_ShatterBoss_Shared                       the Ripper Queen  (row Shatterlands_Commander_Fortress · ItemPoolList_ShatterlandsCommanderFortress)
  Char_ShatterBoss_Shared_TrueBoss              the Ripper Queen  (row Shatterlands_Commander_Fortress_TrueBoss · ItemPoolList_ShatterlandsCommanderFortress_TrueBoss · True Boss)
  Char_TKBoss                                   The Timekeeper  (row City_Time_Keeper · ItemPoolList_Timekeeper_TKBoss)
  Char_Thresher_BioArmoredBig_Runnable          Thresher Bio Armored Big Runnable  (row BioArmorThresher · ItemPoolList_Thresher_BioArmoredBig)
  Char_MountBoss                                Vile Lictor  (row Mountain_Commander · ItemPoolList_MountainCommander)
  Char_Psycho_PlotMount2b_Boss_FirstCorrupt     Vile Prototype  (row First_Corrupt · ItemPoolList_FirstCorrupt)
  Char_Thresher_Mine_Boss_SurpriseAttack        Voraxis  (row Surprise_Attack · ItemPoolList_SurpriseAttack)
  Char_Leader_PlotPrison_Boss_FirstLeader       Warden Scathe  (row Prison_First_Leader · ItemPoolList_PrisonFirstLeader)

==============================================================================
TRUE BOSS VARIANTS (no dedicated row) (59)
Big Encore / TRUE boss actors without a dedicated-drop table row in this export.
==============================================================================

  Char_Scav_AirRaiderSteve_BossMini_TRUE        Big Encore Air Raider Scremulous  (balance AirRaiderTRUE)
  Char_Psycho_HovercartRiderTrioTRUE            Big Encore Baby Grunt  (balance HovercartRiderTRUE)
  Char_Scav_HeavySplice_BossMini_TRUE           Big Encore Big Oil  (balance HeavySpliceTRUE)
  Char_Scav_HeavySplice_Upper_Boss_TRUE         Big Encore Big Oil  (balance HeavySpliceTRUE)
  Char_CreepRaid1_TRUE                          Big Encore Bloomreaper the Invincible  (balance Raid1Boss_TRUE)
  Char_Phalanx_OrdiniteInfused_MiniBossTRUE     Big Encore Bore-Tex  (balance Phalanx_OrdiniteInfused_MiniBossTRUE)
  Char_DigiZaneKiller_Boss_FloatingHead_DroneParentTRUE  Big Encore Brain Zane  (True Boss)
  Char_DahlFather_Boss_Replay_True              Big Encore Captain Willis  (balance DahlFather_Replay_True)
  Char_Creep_Boss_Castilleia_TRUE               Big Encore Castilleia  (balance Boss_Castilleia_TRUE)
  Char_Cat_OrdiniteInfused_MiniBossTRUE         Big Encore Chiselbella  (balance Cat_OrdiniteInfused_MiniBossTRUE)
  Char_DNMGrunt_Mission04_BossMini_Replay_True  Big Encore Colonel Crash  (balance Mission04_Replay_True)
  Char_DahlMech_Mission02_BossMini_Replay_True  Big Encore Corporal Brennan  (balance Mission02_Replay_True)
  Char_CrazyEarl_Boss_Replay_True               Big Encore Crazed Earl  (balance CrazyEarl_Replay_True)
  Char_Splice_OrdiniteInfused_MiniBossTRUE      Big Encore Drang  (balance Splice_OrdiniteInfused_MiniBossTRUE)
  Char_Meathead_Drill_Boss_DumpsterDiverTRUE    Big Encore Dumpster Diver MeatHead  (balance Drill_Boss_DumpsterDiverTRUE)
  Char_Phalanx_Drill_Boss_DumpsterDiverTRUE     Big Encore Dumpster Diver Phalanx  (balance Drill_Boss_DumpsterDiverTRUE)
  Char_Psycho_Drill_Boss_DumpsterDiverTRUE      Big Encore Dumpster Diver Psycho  (balance Drill_Boss_DumpsterDiverTRUE)
  Char_SpliceHelo_Drill_Boss_DumpsterDiverTRUE  Big Encore Dumpster Diver Splice  (balance Drill_Boss_DumpsterDiverTRUE)
  Char_Psycho_TwoHeadMainTRUE                   Big Encore Eddy 'Four-Eyes' Swoszowski  (balance 2HeadPsychoBodyTRUE)
  Char_Psycho_TwoHeadTRUE                       Big Encore Eddy 'Four-Eyes' Swoszowski  (balance 2HeadPsychoTRUE)
  Char_MeatheadCannonTRUE                       Big Encore Evan Horizon  (balance SingularityMeatheadTRUE)
  Char_Creep_SideCity_ExperimentB_TRUE          Big Encore Experiment 1709  (balance SideCity_ExperimentB_TRUE)
  Char_Creep_SideCity_ExperimentA_TRUE          Big Encore Experiment 42  (balance SideCity_ExperimentA_TRUE)
  Char_BanditTurret_ShoulderChaingunTRUE        Big Encore Facebreaker  (balance ShoulderChaingunTRUE)
  Char_BanditTurret_ShoulderRocketTRUE          Big Encore Gorezooka  (balance ShoulderRocketTRUE)
  Char_SpliceArmTRUE                            Big Encore Handy Howard  (balance SpliceArmTRUE)
  Char_MeatheadFreezeTRUE                       Big Encore Icebox  (balance FreezeRayTRUE)
  Char_BattleWagon_RocketTurret_TRUE            Big Encore Launcher  (balance Drill_Boss_RocketTurret_TRUE)
  Char_PsychoGeigerTRUE                         Big Encore Leadhead  (balance GeigerPsychoTRUE)
  Char_Psycho_HovercartRiderDuoTRUE             Big Encore Li'l Grunt  (balance HovercartRiderTRUE)
  Char_MeatHead_MeatSpliceTRUE                  Big Encore Lucky Lou  (balance MeatSpliceTRUE)
  Char_Leader_Bunker_Boss_CloningCloneTRUE      Big Encore Major Rendition  (balance Bunker_Boss_CloningCloneTRUE)
  Char_MeatHead_MiniMeatheadBombTRUE            Big Encore Meatball  (balance MiniMeatheadRiderTRUE)
  Char_MeatHead_MiniMeatheadRiderTRUE           Big Encore Meatball  (balance MiniMeatheadRiderTRUE)
  Char_MeatHead_MiniMeatheadRocketTRUE          Big Encore Meatball  (balance MiniMeatheadRiderTRUE)
  Char_MeatHead_MiniMeatheadTRUE                Big Encore Meatball  (balance MiniMeatheadRiderTRUE)
  Char_Striker_Bunker_Boss_SplitterCloneTRUE    Big Encore Mimicron  (balance Bunker_Boss_SplitterCloneTRUE)
  Char_Leader_BountyPack1_Boss_MercenaryDayTRUE  Big Encore Minister Screw  (balance BountyPack1_Boss_Leader_MercenaryDayTRUE)
  Char_Guntoter_MeatheadJockeyTRUE              Big Encore Piggyback Bandit  (balance MeatheadRiderAddTRUE)
  Char_PhalanxCreepyTrue                        Big Encore Poison Ivan  (balance CreepyTRUE)
  Char_PsychoRobotTRUE                          Big Encore Psych0-Bot  (True Boss)
  Char_Splice_RipsawTRUE                        Big Encore Ripsaw  (balance RipsawTRUE)
  Char_BatWithSpliceTRUE                        Big Encore Spidananggal  (balance SpiderManaTorsoTRUE)
  Char_SpliceSpiderManaTRUE                     Big Encore Spidananggal  (balance SpiderManaTRUE)
  Char_Pangolin_BountyPack2_Boss_OrdiniteInfusedtrue  Big Encore Stone Demon  (balance PangolinBossTRUE)
  Char_DigitalPsychoTRUE                        Big Encore sTruCT Gh0sT  (balance DigiPsychoTRUE)
  Char_Meathead_OrdiniteInfused_MiniBossTRUE    Big Encore Sturm  (balance Meathead_OrdiniteInfused_MiniBossTRUE)
  Char_DahlGrunt_DroneCaptainBase_TRUE          Big Encore The Penitent Steel  (balance Bunker_DroneCaptain_True)
  Char_Mech_DroneCaptain_BossMini_TRUE          Big Encore The Penitent Steel  (balance Bunker_DroneCaptain_True)
  Char_Soldier_PlotMount3_CorruptDuoTRUE        Big Encore Vile Duo Armature  (balance PlotMount3_CorruptDuoTRUE)
  Char_Striker_PlotMount3_CorruptDuoTRUE        Big Encore Vile Duo Engine  (balance PlotMount3_CorruptDuoTRUE)
  Char_Brute_BountyPack1_Boss_MercenaryDayTRUE  Brute Bounty Pack1 Boss Mercenary Day TRUE  (balance BountyPack1_Boss_MercenaryDayTRUE)
  Char_ColossalUberLeaderLeader_Raid2_TRUE      Colossal Uber Leader Leader Raid2 TRUE  (balance ColossalUberLeader_TRUE)
  Char_LeaderBoss_Raid2_TRUE                    Leader Boss Raid2 TRUE  (balance LeaderBossRaid2_TRUE)
  Char_Splice_HovercartDuoTRUE                  Splice Hovercart Duo TRUE  (balance SpliceHovercartTRUE)
  Char_Splice_HovercartTrioTRUE                 Splice Hovercart Trio TRUE  (balance SpliceHovercartTRUE)
  Char_Splice_HovercartTRUE                     Splice Hovercart TRUE  (balance SpliceHovercartTRUE)
  Char_MeatHeadSpiderDiscTRUE                   The Big Encore Decomishinor  (balance DecomishinorTRUE)
  Char_MeatHead_TurretPlatformTRUE              The Big Encore Exterminator  (balance TurretPlatformTRUE)

==============================================================================
BOSS-RANK ENEMIES (130)
GbxActor.Character.Rank.Boss — generic boss tier, not a named dedicated drop.
==============================================================================

  Char_BatWithSplice                            Aerial Spidananggal  (balance SpiderManaTorso)
  Char_Scav_AirRaiderSteve_BossMini             Air Raider Scremulous  (balance AirRaider)
  Char_PrisonBuddyBoss_Shared                   Arjay  (balance PrisonBuddy_S1)
  Char_ScubaStriker                             Badass Abyssal Engine  (balance ScubaStriker)
  Char_BadassFish                               Badass Brine Hybrid  (balance BadassFish)
  Char_Mandolin_CoS_PenaltyBox_StrikerBadass    Badass Domination Engine  (balance Badass)
  Char_Mandolin_CoS_PenaltyBox_SoldierBadass    Badass Eradication Armature  (balance Badass)
  Char_Mandolin_CoS_PenaltyBox_BruteBadass      Badass Hulkhead  (balance Badass)
  Char_Mandolin_CoS_PenaltyBox_LeaderBadass     Badass Judge  (balance LeaderBadass)
  Char_ScubaSoldier                             Badass Subaqueous Armature  (balance ScubaSoldier)
  Char_ScubaDrone                               Badass Thalassic Attestor  (balance ScubaDrone)
  Char_Mandolin_BruteSlaughterBoss              Beta Revision Avenging Daemon  (balance Boss_BruteSlaughter)
  Char_DigiZaneKiller_Boss                      Biff Fistful  (balance Boss_DigiZane_Phase1)
  Char_BigBoss_TRUE                             Big Boss TRUE  (balance BigBoss_TRUE)
  Char_DigiZaneKiller_BossTRUE                  Big Encore Biff Fistful  (balance Boss_DigiZane_Phase1TRUE)
  Char_DigiZaneKiller_Boss_FloatingHead_ZaneAttachmentTRUE  Big Encore Brain Zane  (balance Boss_DigiZane_Phase2TRUE)
  Char_DigiZaneKiller_Boss_SpliceBuddyTRUE      Big Encore High Ball  (balance Boss_DigiZane_SpliceBuddyTRUE)
  Char_DigiZaneKiller_Boss_DroneBuddyTRUE       Big Encore Scartini  (balance Boss_DigiZane_DroneDefensiveTRUE)
  Char_Scav_HeavySplice_BossMini                Big Oil  (balance HeavySplice)
  Char_Creep_Bitterblight_BossRift              Bitterblight  (balance Bitterblight)
  Char_CreepRaid1                               Bloomreaper the Invincible  (balance Raid1Boss)
  Char_Scav_BoneBoogy_BossRift                  Bone Boogie  (balance BoneBoogy)
  Char_Phalanx_OrdiniteInfused_MiniBoss         Bore-Tex  (balance Phalanx_OrdiniteInfused_MiniBoss)
  Char_Scav_Botpopper_BossRift                  Botpopper  (balance Botpopper)
  Char_ZaneClone_BladeDiaz                      Bounty Pack #3 Zane Clone Blade Diaz  (balance Unique_ZaneClone_BladeDiaz)
  Char_ZaneClone_BrunoHawk                      Bounty Pack #3 Zane Clone Bruno Hawk  (balance Unique_ZaneClone_BrunoHawk)
  Char_DigiZaneKiller_Boss_FloatingHead_Clone_PROTOTYPE  Brain Zane  (balance Boss_DigiZane_CloneAdd_Phase2)
  Char_DigiZaneKiller_Boss_FloatingHead_DroneParent  Brain Zane  (balance None)
  Char_DigiZaneKiller_Boss_FloatingHead_PROTOTYPE  Brain Zane  (balance Boss_DigiZane_Phase2)
  Char_DigiZaneKiller_Boss_FloatingHead_ZaneAttachment  Brain Zane  (balance Boss_DigiZane_Phase2)
  Char_DigiZaneKiller_Boss_FloatingHead_ZaneAttachment_CloneA  Brain Zane  (balance Boss_DigiZane_CloneAdd_Phase2)
  Char_CatFish                                  Brine Blubgill  (balance CatFish)
  Char_GunFish                                  Brine Type G  (balance GunFish)
  Char_MeleeFish                                Brine Type M  (balance MeleeFish)
  Char_MeleeFish_NPC                            Brine Type M  (balance MeleeFish)
  Char_DahlFather_Boss                          Captain Willis  (balance DahlFather)
  Char_Creep_Boss_Castilleia                    Castilleia  (balance Boss_Castilleia)
  Char_Cat_OrdiniteInfused_MiniBoss             Chiselbella  (balance Cat_OrdiniteInfused_MiniBoss)
  Char_CIN_Mandolin_DetectiveZane               CIN Mandolin Detective Zane
  Char_Striker_Cleaner_BossMini                 CL34n.R  (balance Striker_Cleaner_MiniBoss)
  Char_Striker_Cleaner_BossMini_Replay          CL34n.R  (balance Striker_Cleaner_MiniBoss)
  Char_DNMGrunt_Mission04_BossMini              Colonel Crash  (balance Mission04)
  Char_StrikerKael                              Colonel Kael  (balance Kael)
  Char_DahlMech_Mission02_BossMini              Corporal Brennan  (balance Mission02)
  Char_MutantCrab                               Crackclaw  (balance MutantCrab)
  Char_CrazyEarl_Boss                           Crazed Earl  (balance CrazyEarl)
  Char_Creep_SideCity_ExperimentA_Runnable      Creep Side City Experiment A Runnable  (balance SideCity_ExperimentA_Runnable)
  Char_Creep_SideCity_ExperimentB_Runnable      Creep Side City Experiment B Runnable  (balance SideCity_ExperimentB_Runnable)
  Char_DahlGrunt_DroneCaptainBase               Dahl Grunt Drone Captain Base  (balance Bunker_DroneCaptain)
  Char_FixerTower_BossMini                      Data Tower  (balance Striker_Fixer_MiniBoss_Tower)
  Char_DigiZaneKiller_Boss_Clone                Digi Zane Killer Boss Clone  (balance Boss_DigiZane_CloneAdd)
  Char_DigiZaneKiller_Boss_Clone_BossAdd        Digi Zane Killer Boss Clone Boss Add  (balance Boss_DigiZane_CloneAdd_Phase2)
  Char_DigiZaneKiller_Boss_Glitched_PROTOTYPE   Digi Zane Killer Boss Glitched PROTOTYPE  (balance Boss_DigiZane_Phase3)
  Char_Brute_BountyPack1_Boss_MercenaryDay      Donk  (balance BountyPack1_Boss_MercenaryDay)
  Char_Splice_OrdiniteInfused_MiniBoss          Drang  (balance Splice_OrdiniteInfused_MiniBoss)
  Char_Meathead_Drill_Boss_DumpsterDiver        Dumpster Diver MeatHead  (balance Drill_Boss_DumpsterDiver)
  Char_SpliceHelo_Drill_Boss_DumpsterDiver      Dumpster Diver Splice  (balance Drill_Boss_DumpsterDiver)
  Char_Psycho_TwoHeadMain                       Eddy 'Four-Eyes' Swoszowski  (balance 2HeadPsychoBody)
  Char_MeatheadCannon                           Evan Horizon  (balance SingularityMeathead)
  Char_Striker_Fixer_BossMini                   F1x.R  (balance Striker_Fixer_MiniBoss)
  Char_Striker_Fixer_BossMini_Replay            F1x.R  (balance Striker_Fixer_MiniBoss)
  Char_Kraggon_Fulgur_BossRift                  Fulgur  (balance Fulgur)
  Char_MutantThresher                           Gilgathresh  (balance MutantThresher)
  Char_Mandolin_BruteBadass_Glitch              Glitchy Bagman  (balance Glitched)
  Char_Mandolin_BruteMini_Glitch                Glitchy Lil' Bagman  (balance Mini_Glitched)
  Char_Mandolin_LeaderBadass_Glitch             Glitchy Shark  (balance LeaderGlitched)
  Char_Mandolin_StrikerBadass_Glitch            Glitchy Snitch  (balance Glitched)
  Char_Mandolin_SoldierBadass_Glitch            Glitchy Stoolie  (balance Glitched)
  Char_SoldierGrandReprise                      Grand Reprise Directive-2  (balance GrandReprise)
  Char_Guardian_SHARED                          Guardian (spawn Char_GuardianBasic instead)
